v1,v2
ham,"See you at the gym later, same time as usual?"
ham,Your package was delivered to the front desk this morning
spam,"HOT SINGLES IN YOUR AREA ARE WAITING TO CHAT WITH YOU! CLICK HTTP://FREE-CASH-NOW.INFO NOW, 100% FREE"
spam,Congratulations! Your mobile number has won £2500 in the UK National Lottery. Call 90210 now !!!
ham,Can you send me the report before 5pm today? Thanks!
spam,"New message waiting! Someone has a crush on you, find out who at www.unlock-account.co now"
ham,"I'll pick up the kids from school today, no need to worry"
ham,Happy birthday! Hope you have a wonderful day
ham,Just wanted to check if you got home safe
ham,"I finished the project, sending you the files now"
spam,You are pre-approved for a $5000 loan with 0% interest! Apply now at www.claim-prize.com
spam,CONGRATULATIONS! You've been chosen for a FREE cruise to the Bahamas. Call 07781234567 to claim
ham,Your package was delivered to the front desk this morning
spam,Hurry! Only a few smart watch left in stock at 80% off. Order now at www.unlock-account.co !!!
ham,"Great job on the presentation today, the team loved it"
ham,I updated the spreadsheet with the latest numbers
ham,I updated the spreadsheet with the latest numbers
ham,Can you send me the report before 9am today? Thanks!
spam,"Get rich quick! Earn $50 per week working from home, no experience needed, click secure-verify-account.com !!!"
ham,Just wanted to check if you got home safe
ham,Your package was delivered to the front desk this morning
spam,You have been selected to receive a FREE gift card! Reply YES to claim your gift now
spam,"Claim your FREE gift card now! No purchase necessary, just click bit.ly/free-gift and enter your details"
ham,Can you send me the report before 3:30pm today? Thanks!
ham,Don't forget to pick up milk on your way home
ham,"I loved the movie we watched last night, we should go again"
ham,Can you review my code before I push it to production?
ham,"I loved the movie we watched last night, we should go again"
spam,CONGRATULATIONS! You've been chosen for a FREE cruise to the Bahamas. Call 09061234567 to claim
spam,Hurry! Only a few iPhone 15 left in stock at 80% off. Order now at bit.ly/free-gift
spam,"FREE entry into our $1000 prize draw! Text WIN to 08000112233 now, limited time offer !!!"
ham,I updated the spreadsheet with the latest numbers
spam,"Dear customer, your bank account needs verification. Click bit.ly/free-gift or your card will be blocked !!!"
spam,Your Amazon order could not be delivered. Confirm your address at www.unlock-account.co to reschedule !!!
spam,Your Amazon order could not be delivered. Confirm your address at www.unlock-account.co to reschedule !!!
ham,Are you free to talk on the phone for a few minutes?
ham,Happy anniversary! Wishing you both many more happy years
ham,"The flight got delayed by an hour, landing around 10am"
ham,"I loved the movie we watched last night, we should go again"
ham,"Let's grab coffee sometime next week, I'm free after 11:15am"
ham,"See you at the gym later, same time as usual?"
spam,Your Amazon order could not be delivered. Confirm your address at secure-verify-account.com to reschedule
ham,"Let's grab coffee sometime next week, I'm free after 5pm"
ham,"Let's grab coffee sometime next week, I'm free after 6:45pm"
ham,Your package was delivered to the front desk this morning
ham,"Great job on the presentation today, the team loved it"
spam,Your PayPal account has unusual activity. Verify now at www.unlock-account.co or it will be locked !!!
ham,"Thanks for the birthday wishes, means a lot to me"
spam,URGENT! Your account has been suspended. Verify your details immediately at bit.ly/free-gift to avoid closure
spam,"Click here to activate your FREE holiday package subscription, offer valid for 1900123456 hours only !!!"
spam,You've qualified for a government grant of $500. Claim it now by calling 08000112233
ham,Can you review my code before I push it to production?
ham,"I loved the movie we watched last night, we should go again"
ham,"Thanks for the birthday wishes, means a lot to me"
ham,"I'll be there in about 10 minutes, traffic is a bit heavy"
spam,Hurry! Only a few iPhone 15 left in stock at 80% off. Order now at bit.ly/free-gift !!!
ham,The meeting has been rescheduled to 6:45pm on Sunday
ham,"I'll pick up the kids from school today, no need to worry"
ham,"I'm running a bit late, be there in 15 minutes"
spam,"GET RICH QUICK! EARN $50 PER WEEK WORKING FROM HOME, NO EXPERIENCE NEEDED, CLICK WWW.WINBIG-NOW.NET !!!"
spam,You are pre-approved for a $250 loan with 0% interest! Apply now at www.unlock-account.co !!!
ham,Just wanted to check if you got home safe
ham,Don't forget to pick up milk on your way home
ham,"The flight got delayed by an hour, landing around 3:30pm"
ham,Don't forget to pick up milk on your way home
ham,Can we catch up this weekend? It's been a while
ham,"The flight got delayed by an hour, landing around 10am"
ham,"I'm running a bit late, be there in 15 minutes"
spam,Your package is on hold due to unpaid customs fee of $2500. Pay now at www.claim-prize.com
ham,Happy anniversary! Wishing you both many more happy years
ham,"Great job on the presentation today, the team loved it"
spam,Make $2500 a day trading crypto with our secret system! Sign up free at http://free-cash-now.info !!!
ham,"Let's grab coffee sometime next week, I'm free after 6:45pm"
spam,URGENT! Your account has been suspended. Verify your details immediately at www.unlock-account.co to avoid closure
ham,Can you call me back when you get a chance?
ham,"See you at the gym later, same time as usual?"
spam,Your Amazon order could not be delivered. Confirm your address at www.winbig-now.net to reschedule
spam,You have 1 new voicemail regarding your loan approval of $1000. Call 09061234567 immediately !!!
spam,FINAL NOTICE: Your car warranty is about to expire. Call 1900123456 now to renew and save
ham,The meeting has been rescheduled to 10am on Monday
ham,Happy anniversary! Wishing you both many more happy years
spam,Make $250 a day trading crypto with our secret system! Sign up free at http://free-cash-now.info !!!
spam,You've qualified for a government grant of $250. Claim it now by calling 07781234567
ham,Let me know if you need anything else from me for the report
ham,"The flight got delayed by an hour, landing around noon"
spam,Congratulations! You have WON a gaming laptop worth $250. Claim now by clicking www.winbig-now.net !!!
ham,"I'm running a bit late, be there in 15 minutes"
ham,"Thanks for your help earlier, really appreciate it"
ham,"Let's grab coffee sometime next week, I'm free after 10am"
ham,Can you send me the report before 3:30pm today? Thanks!
spam,CONGRATULATIONS! You've been chosen for a FREE cruise to the Bahamas. Call 09061234567 to claim !!!
ham,"Let's grab coffee sometime next week, I'm free after 9am"
ham,"Hey, are we still on for lunch tomorrow at 9am?"
spam,FINAL NOTICE: Your car warranty is about to expire. Call 07781234567 now to renew and save
ham,Can you call me back when you get a chance?
ham,"Mom said dinner is ready, come down when you can"
spam,Make $500 a day trading crypto with our secret system! Sign up free at bit.ly/free-gift
ham,"Mom said dinner is ready, come down when you can"
ham,"I loved the movie we watched last night, we should go again"
ham,Don't forget to pick up milk on your way home
spam,LIMITED OFFER: Get 90% discount on designer handbag today only! Click www.unlock-account.co before it expires
ham,"I finished the project, sending you the files now"
ham,"Just checking in, how did the interview go?"
ham,I updated the spreadsheet with the latest numbers
ham,"Hey, are we still on for lunch tomorrow at 6:45pm?"
spam,You are pre-approved for a $1000 loan with 0% interest! Apply now at bit.ly/free-gift
spam,"Claim your FREE designer handbag now! No purchase necessary, just click http://free-cash-now.info and enter your details"
ham,Can you send me the report before 3:30pm today? Thanks!
spam,LIMITED OFFER: Get 90% discount on TV today only! Click www.winbig-now.net before it expires
ham,"Thanks for the birthday wishes, means a lot to me"
ham,"I'm running a bit late, be there in 15 minutes"
ham,"Let's grab coffee sometime next week, I'm free after 2pm"
ham,The meeting has been rescheduled to 11:15am on Monday
ham,Your package was delivered to the front desk this morning
spam,You have 1 new voicemail regarding your loan approval of $2500. Call 09061234567 immediately !!!
spam,Your package is on hold due to unpaid customs fee of $500. Pay now at bit.ly/free-gift
spam,Hurry! Only a few TV left in stock at 80% off. Order now at http://free-cash-now.info
ham,"Thanks for your help earlier, really appreciate it"
ham,Happy anniversary! Wishing you both many more happy years
ham,"Let's grab coffee sometime next week, I'm free after 2pm"
spam,Your Amazon order could not be delivered. Confirm your address at bit.ly/free-gift to reschedule
spam,"New message waiting! Someone has a crush on you, find out who at bit.ly/free-gift now !!!"
spam,"Get rich quick! Earn $1000 per week working from home, no experience needed, click www.winbig-now.net !!!"
ham,The meeting has been rescheduled to 6:45pm on Sunday
spam,You have an unclaimed insurance payout of $250. Contact 09061234567 today before it expires
ham,"See you at the gym later, same time as usual?"
ham,"Just checking in, how did the interview go?"
ham,"Let's grab coffee sometime next week, I'm free after 5pm"
ham,"See you at the gym later, same time as usual?"
ham,"See you at the gym later, same time as usual?"
ham,"Just checking in, how did the interview go?"
ham,The meeting has been rescheduled to 5pm on Tuesday
ham,"I loved the movie we watched last night, we should go again"
ham,Happy anniversary! Wishing you both many more happy years
ham,Happy birthday! Hope you have a wonderful day
spam,"New message waiting! Someone has a crush on you, find out who at http://free-cash-now.info now"
ham,Happy anniversary! Wishing you both many more happy years
spam,Your Amazon order could not be delivered. Confirm your address at www.claim-prize.com to reschedule
spam,You are pre-approved for a $2500 loan with 0% interest! Apply now at www.unlock-account.co !!!
spam,CONGRATULATIONS! You've been chosen for a FREE cruise to the Bahamas. Call 09061234567 to claim !!!
ham,Can you review my code before I push it to production?
spam,Your package is on hold due to unpaid customs fee of $10000. Pay now at www.unlock-account.co !!!
ham,I updated the spreadsheet with the latest numbers
ham,Let me know if you need anything else from me for the report
ham,"Thanks for the birthday wishes, means a lot to me"
spam,You have 1 new voicemail regarding your loan approval of $10000. Call 90210 immediately
ham,Can you review my code before I push it to production?
ham,"Just checking in, how did the interview go?"
ham,"Let's grab coffee sometime next week, I'm free after 6:45pm"
spam,"New message waiting! Someone has a crush on you, find out who at bit.ly/free-gift now"
ham,"Mom said dinner is ready, come down when you can"
spam,Your Netflix account is on hold. Update your payment info now at www.winbig-now.net to keep watching !!!
ham,Don't forget to pick up milk on your way home
ham,"Great job on the presentation today, the team loved it"
ham,Can you call me back when you get a chance?
ham,"Great job on the presentation today, the team loved it"
spam,FINAL NOTICE: Your car warranty is about to expire. Call 07781234567 now to renew and save
ham,Reminder: Your dentist appointment is on Monday at 9am
spam,CONGRATULATIONS! You've been chosen for a FREE cruise to the Bahamas. Call 09061234567 to claim
ham,"I'm running a bit late, be there in 15 minutes"
spam,You've qualified for a government grant of $500. Claim it now by calling 07781234567
ham,"Thanks for dinner last night, it was really nice catching up"
ham,"See you at the gym later, same time as usual?"
ham,Are you free to talk on the phone for a few minutes?
ham,"The weather looks great this weekend, perfect for a hike"
ham,Let me know if you need anything else from me for the report
ham,"Let's grab coffee sometime next week, I'm free after noon"
spam,"Hot singles in your area are waiting to chat with you! Click www.unlock-account.co now, 100% free"
spam,You've qualified for a government grant of $100. Claim it now by calling 1900123456 !!!
ham,Can you review my code before I push it to production?
spam,"FREE entry into our $500 prize draw! Text WIN to 1900123456 now, limited time offer"
ham,"I'll pick up the kids from school today, no need to worry"
ham,Can you send me the report before 5pm today? Thanks!
ham,Can you review my code before I push it to production?
ham,"Just checking in, how did the interview go?"
spam,"Hot singles in your area are waiting to chat with you! Click www.claim-prize.com now, 100% free !!!"
spam,"Claim your FREE voucher now! No purchase necessary, just click www.claim-prize.com and enter your details"
ham,"I finished the project, sending you the files now"
spam,URGENT! Your account has been suspended. Verify your details immediately at www.claim-prize.com to avoid closure
spam,Your package is on hold due to unpaid customs fee of $50. Pay now at www.winbig-now.net
ham,"I'll be there in about 10 minutes, traffic is a bit heavy"
spam,You are pre-approved for a $1000 loan with 0% interest! Apply now at www.claim-prize.com !!!
ham,"Great job on the presentation today, the team loved it"
ham,Happy anniversary! Wishing you both many more happy years
ham,Can you call me back when you get a chance?
ham,Can you review my code before I push it to production?
ham,Can you send me the report before 5pm today? Thanks!
ham,"I'll pick up the kids from school today, no need to worry"
spam,"Claim your FREE designer handbag now! No purchase necessary, just click secure-verify-account.com and enter your details"
ham,"Thanks for dinner last night, it was really nice catching up"
ham,"Thanks for your help earlier, really appreciate it"
ham,Can you send me the report before 11:15am today? Thanks!
ham,Don't forget to pick up milk on your way home
ham,"I'll pick up the kids from school today, no need to worry"
ham,The meeting has been rescheduled to noon on Tuesday
ham,"I'm running a bit late, be there in 15 minutes"
spam,Your package is on hold due to unpaid customs fee of $10000. Pay now at bit.ly/free-gift
ham,"See you at the gym later, same time as usual?"
spam,"IRS Notice: You owe back taxes. Avoid arrest, call 90210 immediately to settle !!!"
ham,"The flight got delayed by an hour, landing around 9am"
spam,URGENT! Your account has been suspended. Verify your details immediately at http://free-cash-now.info to avoid closure
ham,Can you call me back when you get a chance?
ham,Reminder: Your dentist appointment is on Monday at noon
spam,URGENT! Your account has been suspended. Verify your details immediately at www.unlock-account.co to avoid closure
ham,Don't forget to pick up milk on your way home
ham,Are you free to talk on the phone for a few minutes?
spam,Text STOP to unsubscribe or reply YES to claim your $100 cash prize instantly
ham,"Just checking in, how did the interview go?"
spam,Text STOP to unsubscribe or reply YES to claim your $5000 cash prize instantly
spam,Your PayPal account has unusual activity. Verify now at www.unlock-account.co or it will be locked
spam,"FREE entry into our $1000 prize draw! Text WIN to 1900123456 now, limited time offer"
ham,The meeting has been rescheduled to 3:30pm on Thursday
ham,"I'm running a bit late, be there in 15 minutes"
spam,"CLAIM YOUR FREE DESIGNER HANDBAG NOW! NO PURCHASE NECESSARY, JUST CLICK BIT.LY/FREE-GIFT AND ENTER YOUR DETAILS"
ham,Don't forget to pick up milk on your way home
ham,Just wanted to check if you got home safe
ham,"I'm running a bit late, be there in 15 minutes"
ham,"I'm running a bit late, be there in 15 minutes"
spam,"Double your money in 24 hours! Guaranteed returns, invest now at www.claim-prize.com"
spam,"Get rich quick! Earn $250 per week working from home, no experience needed, click www.claim-prize.com !!!"
spam,FINAL NOTICE: Your car warranty is about to expire. Call 07781234567 now to renew and save !!!
ham,"I loved the movie we watched last night, we should go again"
ham,The meeting has been rescheduled to 5pm on Wednesday
spam,Your Amazon order could not be delivered. Confirm your address at www.unlock-account.co to reschedule
ham,"I'll be there in about 10 minutes, traffic is a bit heavy"
ham,"The weather looks great this weekend, perfect for a hike"
ham,The meeting has been rescheduled to 9am on Thursday
spam,You have 1 new voicemail regarding your loan approval of $50. Call 08000112233 immediately
ham,"Mom said dinner is ready, come down when you can"
spam,"Dear customer, your bank account needs verification. Click www.winbig-now.net or your card will be blocked !!!"
ham,I updated the spreadsheet with the latest numbers
spam,"New message waiting! Someone has a crush on you, find out who at secure-verify-account.com now"
ham,I updated the spreadsheet with the latest numbers
spam,Make $100 a day trading crypto with our secret system! Sign up free at www.winbig-now.net
ham,"Thanks for dinner last night, it was really nice catching up"
ham,Happy birthday! Hope you have a wonderful day
ham,"I'll pick up the kids from school today, no need to worry"
ham,Happy anniversary! Wishing you both many more happy years
spam,You've qualified for a government grant of $500. Claim it now by calling 08000112233
spam,Congratulations! Your mobile number has won £1000 in the UK National Lottery. Call 07781234567 now
ham,"I'll be there in about 10 minutes, traffic is a bit heavy"
ham,"Thanks for your help earlier, really appreciate it"
spam,You have an unclaimed insurance payout of $100. Contact 90210 today before it expires !!!
ham,"Thanks for dinner last night, it was really nice catching up"
ham,Let me know if you need anything else from me for the report
spam,Hurry! Only a few cash prize left in stock at 80% off. Order now at www.unlock-account.co
ham,Just wanted to check if you got home safe
ham,"I'll be there in about 10 minutes, traffic is a bit heavy"
spam,Your PayPal account has unusual activity. Verify now at http://free-cash-now.info or it will be locked
spam,Your Amazon order could not be delivered. Confirm your address at www.winbig-now.net to reschedule
ham,Don't forget to pick up milk on your way home
ham,"I finished the project, sending you the files now"
ham,I updated the spreadsheet with the latest numbers
ham,Can you review my code before I push it to production?
spam,You are pre-approved for a $250 loan with 0% interest! Apply now at bit.ly/free-gift !!!
ham,"See you at the gym later, same time as usual?"
ham,"Thanks for your help earlier, really appreciate it"
ham,Can we catch up this weekend? It's been a while
ham,Let me know if you need anything else from me for the report
ham,The meeting has been rescheduled to 10am on Monday
ham,"The weather looks great this weekend, perfect for a hike"
ham,"I'm running a bit late, be there in 15 minutes"
ham,"Thanks for dinner last night, it was really nice catching up"
ham,Don't forget to pick up milk on your way home
spam,"New message waiting! Someone has a crush on you, find out who at www.unlock-account.co now"
ham,Can we catch up this weekend? It's been a while
spam,"Hot singles in your area are waiting to chat with you! Click http://free-cash-now.info now, 100% free"
ham,"Just checking in, how did the interview go?"
ham,"The flight got delayed by an hour, landing around 5pm"
ham,Happy anniversary! Wishing you both many more happy years
spam,"Hot singles in your area are waiting to chat with you! Click http://free-cash-now.info now, 100% free"
ham,Reminder: Your dentist appointment is on Saturday at 5pm
spam,WINNER!! As a valued network customer you have been selected to receive a $5000 prize reward
ham,Can we catch up this weekend? It's been a while
ham,Let me know if you need anything else from me for the report
ham,Don't forget to pick up milk on your way home
ham,Happy birthday! Hope you have a wonderful day
spam,You have been selected to receive a FREE smart watch! Reply YES to claim your gift now
ham,Can you send me the report before 3:30pm today? Thanks!
spam,"FREE entry into our $2500 prize draw! Text WIN to 90210 now, limited time offer"
ham,"See you at the gym later, same time as usual?"
ham,"Great job on the presentation today, the team loved it"
spam,WINNER!! As a valued network customer you have been selected to receive a $500 prize reward !!!
ham,Can we catch up this weekend? It's been a while
ham,"Thanks for the birthday wishes, means a lot to me"
ham,The meeting has been rescheduled to noon on Tuesday
ham,Reminder: Your dentist appointment is on Thursday at 5pm
ham,"I finished the project, sending you the files now"
ham,Can we catch up this weekend? It's been a while
ham,Don't forget to pick up milk on your way home
ham,Can you call me back when you get a chance?
spam,"Get rich quick! Earn $500 per week working from home, no experience needed, click www.unlock-account.co"
ham,Can we catch up this weekend? It's been a while
ham,Can you send me the report before 11:15am today? Thanks!
spam,You have been selected to receive a FREE designer handbag! Reply YES to claim your gift now
ham,"I'll be there in about 10 minutes, traffic is a bit heavy"
ham,Reminder: Your dentist appointment is on Sunday at noon
spam,Act now! This exclusive MacBook Pro offer expires in 24 hours. Visit www.unlock-account.co for instant access
ham,"Thanks for the birthday wishes, means a lot to me"
ham,I updated the spreadsheet with the latest numbers
spam,You have 1 new voicemail regarding your loan approval of $100. Call 08000112233 immediately !!!
spam,Your Amazon order could not be delivered. Confirm your address at secure-verify-account.com to reschedule !!!
ham,"Thanks for dinner last night, it was really nice catching up"
spam,Make $10000 a day trading crypto with our secret system! Sign up free at www.winbig-now.net
ham,Don't forget to pick up milk on your way home
spam,Your Netflix account is on hold. Update your payment info now at http://free-cash-now.info to keep watching !!!
ham,"I finished the project, sending you the files now"
spam,Text STOP to unsubscribe or reply YES to claim your $100 cash prize instantly
spam,"Claim your FREE cash prize now! No purchase necessary, just click www.winbig-now.net and enter your details"
ham,Don't forget to pick up milk on your way home
ham,Can you send me the report before 2pm today? Thanks!
spam,Your Amazon order could not be delivered. Confirm your address at bit.ly/free-gift to reschedule
ham,"Great job on the presentation today, the team loved it"
spam,Congratulations! Your mobile number has won £5000 in the UK National Lottery. Call 08000112233 now
ham,Can we catch up this weekend? It's been a while
spam,"FREE entry into our $5000 prize draw! Text WIN to 1900123456 now, limited time offer"
spam,"IRS Notice: You owe back taxes. Avoid arrest, call 07781234567 immediately to settle"
ham,"Hey, are we still on for lunch tomorrow at 2pm?"
ham,Reminder: Your dentist appointment is on Thursday at 6:45pm
ham,"I finished the project, sending you the files now"
ham,"Thanks for your help earlier, really appreciate it"
spam,Act now! This exclusive designer handbag offer expires in 24 hours. Visit http://free-cash-now.info for instant access
spam,Your package is on hold due to unpaid customs fee of $500. Pay now at www.unlock-account.co
ham,Can you send me the report before 11:15am today? Thanks!
ham,"I finished the project, sending you the files now"
ham,Can you send me the report before 10am today? Thanks!
ham,"Mom said dinner is ready, come down when you can"
ham,"Thanks for your help earlier, really appreciate it"
spam,Your PayPal account has unusual activity. Verify now at bit.ly/free-gift or it will be locked
ham,"Thanks for dinner last night, it was really nice catching up"
ham,Just wanted to check if you got home safe
ham,Happy anniversary! Wishing you both many more happy years
ham,The meeting has been rescheduled to noon on Friday
ham,"The weather looks great this weekend, perfect for a hike"
ham,"Thanks for the birthday wishes, means a lot to me"
ham,Can we catch up this weekend? It's been a while
spam,FINAL NOTICE: Your car warranty is about to expire. Call 07781234567 now to renew and save !!!
ham,"The flight got delayed by an hour, landing around 9am"
ham,"Thanks for your help earlier, really appreciate it"
ham,"Just checking in, how did the interview go?"
ham,"Just checking in, how did the interview go?"
ham,The meeting has been rescheduled to 11:15am on Tuesday
spam,URGENT! Your account has been suspended. Verify your details immediately at www.unlock-account.co to avoid closure
ham,"I'm running a bit late, be there in 15 minutes"
spam,Congratulations! Your mobile number has won £250 in the UK National Lottery. Call 07781234567 now
ham,"Let's grab coffee sometime next week, I'm free after 11:15am"
ham,Can you send me the report before 6:45pm today? Thanks!
ham,"The weather looks great this weekend, perfect for a hike"
ham,Let me know if you need anything else from me for the report
ham,"Hey, are we still on for lunch tomorrow at 5pm?"
ham,Are you free to talk on the phone for a few minutes?
spam,You have 1 new voicemail regarding your loan approval of $100. Call 07781234567 immediately
ham,Don't forget to pick up milk on your way home
ham,"I'm running a bit late, be there in 15 minutes"
ham,Just wanted to check if you got home safe
ham,"The weather looks great this weekend, perfect for a hike"
ham,Can you review my code before I push it to production?
ham,The meeting has been rescheduled to 2pm on Wednesday
spam,Your PayPal account has unusual activity. Verify now at www.winbig-now.net or it will be locked !!!
ham,Are you free to talk on the phone for a few minutes?
spam,"IRS Notice: You owe back taxes. Avoid arrest, call 09061234567 immediately to settle"
ham,Don't forget to pick up milk on your way home
spam,"DEAR CUSTOMER, YOUR BANK ACCOUNT NEEDS VERIFICATION. CLICK BIT.LY/FREE-GIFT OR YOUR CARD WILL BE BLOCKED !!!"
ham,The meeting has been rescheduled to 9am on Friday
ham,"I loved the movie we watched last night, we should go again"
ham,Reminder: Your dentist appointment is on Monday at 5pm
ham,Can we catch up this weekend? It's been a while
ham,Happy anniversary! Wishing you both many more happy years
spam,Congratulations! Your mobile number has won £100 in the UK National Lottery. Call 09061234567 now
ham,Just wanted to check if you got home safe
ham,I updated the spreadsheet with the latest numbers
ham,"Great job on the presentation today, the team loved it"
ham,"I loved the movie we watched last night, we should go again"
ham,"I'm running a bit late, be there in 15 minutes"
spam,Congratulations! Your mobile number has won £50 in the UK National Lottery. Call 08000112233 now !!!
ham,Let me know if you need anything else from me for the report
ham,"I'll be there in about 10 minutes, traffic is a bit heavy"
ham,Happy anniversary! Wishing you both many more happy years
spam,You have been selected to receive a FREE designer handbag! Reply YES to claim your gift now
spam,You are pre-approved for a $100 loan with 0% interest! Apply now at www.unlock-account.co !!!
ham,Don't forget to pick up milk on your way home
ham,"Just checking in, how did the interview go?"
ham,Can we catch up this weekend? It's been a while
ham,Can we catch up this weekend? It's been a while
spam,"Claim your FREE smart watch now! No purchase necessary, just click www.claim-prize.com and enter your details !!!"
ham,"The weather looks great this weekend, perfect for a hike"
ham,"Thanks for dinner last night, it was really nice catching up"
ham,Can you send me the report before noon today? Thanks!
spam,Make $100 a day trading crypto with our secret system! Sign up free at www.claim-prize.com
spam,Make $250 a day trading crypto with our secret system! Sign up free at http://free-cash-now.info
ham,"I'll be there in about 10 minutes, traffic is a bit heavy"
ham,"Thanks for the birthday wishes, means a lot to me"
ham,"Just checking in, how did the interview go?"
ham,Can you send me the report before 6:45pm today? Thanks!
ham,Don't forget to pick up milk on your way home
ham,Can you call me back when you get a chance?
spam,LIMITED OFFER: Get 90% discount on smart watch today only! Click bit.ly/free-gift before it expires
ham,"I'm running a bit late, be there in 15 minutes"
ham,Can you call me back when you get a chance?
ham,"I'm running a bit late, be there in 15 minutes"
ham,Reminder: Your dentist appointment is on Tuesday at 3:30pm
spam,You have been selected to receive a FREE iPhone 15! Reply YES to claim your gift now
ham,"Thanks for dinner last night, it was really nice catching up"
ham,"Mom said dinner is ready, come down when you can"
ham,Can you call me back when you get a chance?
spam,"Click here to activate your FREE designer handbag subscription, offer valid for 08000112233 hours only !!!"
ham,Happy birthday! Hope you have a wonderful day
spam,Congratulations! Your mobile number has won £50 in the UK National Lottery. Call 09061234567 now
ham,"Great job on the presentation today, the team loved it"
ham,"I'll be there in about 10 minutes, traffic is a bit heavy"
ham,Just wanted to check if you got home safe
spam,You've qualified for a government grant of $1000. Claim it now by calling 07781234567 !!!
spam,CONGRATULATIONS! You've been chosen for a FREE cruise to the Bahamas. Call 90210 to claim
ham,Just wanted to check if you got home safe
ham,"I'm running a bit late, be there in 15 minutes"
spam,"Dear customer, your bank account needs verification. Click www.unlock-account.co or your card will be blocked"
spam,LIMITED OFFER: Get 90% discount on PlayStation 5 today only! Click www.winbig-now.net before it expires
spam,"FREE ENTRY INTO OUR $2500 PRIZE DRAW! TEXT WIN TO 90210 NOW, LIMITED TIME OFFER"
ham,"Mom said dinner is ready, come down when you can"
ham,"Let's grab coffee sometime next week, I'm free after 2pm"
ham,Let me know if you need anything else from me for the report
ham,Can you send me the report before 6:45pm today? Thanks!
ham,The meeting has been rescheduled to 10am on Wednesday
ham,Don't forget to pick up milk on your way home
ham,"Thanks for dinner last night, it was really nice catching up"
ham,"Thanks for dinner last night, it was really nice catching up"
ham,I updated the spreadsheet with the latest numbers
ham,"Just checking in, how did the interview go?"
ham,"Let's grab coffee sometime next week, I'm free after noon"
ham,"Thanks for dinner last night, it was really nice catching up"
spam,You have been selected to receive a FREE cash prize! Reply YES to claim your gift now
ham,"I'm running a bit late, be there in 15 minutes"
ham,"The weather looks great this weekend, perfect for a hike"
ham,The meeting has been rescheduled to 10am on Thursday
spam,Your package is on hold due to unpaid customs fee of $5000. Pay now at bit.ly/free-gift
ham,Let me know if you need anything else from me for the report
spam,You have 1 new voicemail regarding your loan approval of $2500. Call 09061234567 immediately
ham,Happy birthday! Hope you have a wonderful day
ham,"I loved the movie we watched last night, we should go again"
spam,"Claim your FREE gift card now! No purchase necessary, just click secure-verify-account.com and enter your details"
ham,"Thanks for the birthday wishes, means a lot to me"
ham,"Mom said dinner is ready, come down when you can"
ham,Can you review my code before I push it to production?
ham,"I'll be there in about 10 minutes, traffic is a bit heavy"
ham,"The weather looks great this weekend, perfect for a hike"
ham,Don't forget to pick up milk on your way home
spam,WINNER!! As a valued network customer you have been selected to receive a $5000 prize reward !!!
ham,"Hey, are we still on for lunch tomorrow at 10am?"
ham,Are you free to talk on the phone for a few minutes?
ham,Happy birthday! Hope you have a wonderful day
ham,The meeting has been rescheduled to 3:30pm on Sunday
spam,URGENT! Your account has been suspended. Verify your details immediately at bit.ly/free-gift to avoid closure
ham,"I finished the project, sending you the files now"
ham,Let me know if you need anything else from me for the report
ham,"Hey, are we still on for lunch tomorrow at noon?"
ham,"Let's grab coffee sometime next week, I'm free after 9am"
ham,"Thanks for dinner last night, it was really nice catching up"
ham,Are you free to talk on the phone for a few minutes?
ham,Reminder: Your dentist appointment is on Monday at 9am
ham,I updated the spreadsheet with the latest numbers
ham,Happy anniversary! Wishing you both many more happy years
ham,Happy anniversary! Wishing you both many more happy years
ham,Can we catch up this weekend? It's been a while
spam,Your package is on hold due to unpaid customs fee of $1000. Pay now at http://free-cash-now.info !!!
spam,Act now! This exclusive TV offer expires in 24 hours. Visit secure-verify-account.com for instant access !!!
spam,"FREE entry into our $50 prize draw! Text WIN to 90210 now, limited time offer"
ham,Can we catch up this weekend? It's been a while
ham,I updated the spreadsheet with the latest numbers
ham,"Hey, are we still on for lunch tomorrow at 3:30pm?"
spam,Your PayPal account has unusual activity. Verify now at http://free-cash-now.info or it will be locked !!!
spam,"URGENT: We tried to contact you today, please call 08000112233 regarding your unclaimed refund of $50"
spam,"New message waiting! Someone has a crush on you, find out who at bit.ly/free-gift now !!!"
spam,Make $10000 a day trading crypto with our secret system! Sign up free at bit.ly/free-gift !!!
spam,You've qualified for a government grant of $500. Claim it now by calling 07781234567
ham,"Just checking in, how did the interview go?"
ham,Happy anniversary! Wishing you both many more happy years
ham,Your package was delivered to the front desk this morning
spam,"IRS Notice: You owe back taxes. Avoid arrest, call 08000112233 immediately to settle !!!"
ham,Happy anniversary! Wishing you both many more happy years
spam,CONGRATULATIONS! You've been chosen for a FREE cruise to the Bahamas. Call 90210 to claim
ham,"I loved the movie we watched last night, we should go again"
spam,FINAL NOTICE: Your car warranty is about to expire. Call 1900123456 now to renew and save
spam,"URGENT: We tried to contact you today, please call 09061234567 regarding your unclaimed refund of $2500"
spam,You are pre-approved for a $100 loan with 0% interest! Apply now at bit.ly/free-gift
ham,"The flight got delayed by an hour, landing around 10am"
ham,Can you review my code before I push it to production?
ham,Just wanted to check if you got home safe
ham,Are you free to talk on the phone for a few minutes?
spam,Your package is on hold due to unpaid customs fee of $50. Pay now at secure-verify-account.com
ham,Happy anniversary! Wishing you both many more happy years
